"Technique","Test_data_accuracy","Test_data_error_rate","Test_data_sensitivity","Test_data_specificity","Test_data_precision","Training_data_accuracy","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"SVM 2 (svmRadialWeights)",0.985759493670886,0.0142405063291139,0.990506329113924,0.981012658227848,0.981191222570533,0.98093948730717,"00:01:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)",0.977848101265823,0.0221518987341772,0.977848101265823,0.977848101265823,0.977848101265823,0.980152056915152,"00:01:43",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)",0.974683544303797,0.0253164556962026,0.984177215189873,0.965189873417722,0.96583850931677,0.979365721577293,"00:00:58",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)",0.971518987341772,0.0284810126582279,0.971518987341772,0.971518987341772,0.971518987341772,0.975675520797055,"00:00:45",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 1 (nnet)",0.969936708860759,0.0300632911392406,0.968354430379747,0.971518987341772,0.971428571428571,0.97686603815498,"00:00:40",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)",0.955696202531646,0.0443037974683544,0.977848101265823,0.933544303797468,0.936363636363636,0.962281435835013,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 1 (nb)",0.920886075949367,0.0791139240506329,0.879746835443038,0.962025316455696,0.958620689655172,0.920872802625627,"00:00:24",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.976731712883716,"00:00:41",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 2 (svmRadialWeights)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.983044893597786,"00:00:54",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.979366190886218,"00:00:57",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)",0.97626582278481,0.0237341772151899,0.977848101265823,0.974683544303797,0.974763406940063,0.981205585467824,"00:01:40",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)",0.968354430379747,0.0316455696202531,0.962025316455696,0.974683544303797,0.974358974358974,0.974766819332037,"00:00:43",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)",0.962025316455696,0.0379746835443038,0.95253164556962,0.971518987341772,0.970967741935484,0.960039110723808,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 1 (nb)",0.895569620253165,0.104430379746835,0.848101265822785,0.943037974683544,0.937062937062937,0.919026722450208,"00:00:23",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.987281399046105,0.0127186009538951,0.990683229813665,0.98371335504886,0.984567901234568,0.980962796704585,"00:00:53",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Random Forest 3 (parRF)",0.984101748807631,0.0158982511923689,0.978260869565217,0.990228013029316,0.990566037735849,0.979132232976807,"00:01:48",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Decision Trees 1 (C5.0)",0.982511923688394,0.0174880763116058,0.981366459627329,0.98371335504886,0.984423676012461,0.977676676139733,"00:00:59",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"RNA 1 (nnet)",0.97933227344992,0.0206677265500795,0.975155279503106,0.98371335504886,0.984326018808777,0.975712860933072,"00:00:40",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"k-NN 2 (kknn)",0.97933227344992,0.0206677265500795,0.978260869565217,0.980456026058632,0.981308411214953,0.975449327843552,"00:00:43",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"CART 3 (rpart2)",0.95389507154213,0.0461049284578696,0.972049689440994,0.93485342019544,0.93993993993994,0.958652416181063,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Naive Bayes 2 (naive_bayes)",0.915739268680445,0.0842607313195548,0.87888198757764,0.954397394136808,0.952861952861953,0.921632894586154,"00:00:03",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.989010989010989,0.0109890109890109,0.996894409937888,0.980952380952381,0.981651376146789,0.981431689451203,"00:00:56",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Decision Trees 1 (C5.0)",0.985871271585557,0.0141287284144427,0.993788819875776,0.977777777777778,0.978593272171254,0.977347882568697,"00:01:00",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Random Forest 3 (parRF)",0.982731554160126,0.0172684458398744,0.978260869565217,0.987301587301587,0.987460815047022,0.977611424230733,"00:01:46",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"RNA 1 (nnet)",0.974882260596546,0.0251177394034537,0.987577639751553,0.961904761904762,0.963636363636364,0.976423537472836,"00:00:40",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"k-NN 2 (kknn)",0.973312401883831,0.0266875981161695,0.972049689440994,0.974603174603175,0.975077881619938,0.975501316617373,"00:00:43",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"CART 2 (rpart1SE)",0.962323390894819,0.0376766091051806,0.981366459627329,0.942857142857143,0.946107784431138,0.958641545794918,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Naive Bayes 1 (nb)",0.929356357927786,0.0706436420722135,0.894409937888199,0.965079365079365,0.963210702341137,0.922042357518222,"00:00:23",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.985,0.015,0.995,0.975,0.975490196078431,0.972291666666667,"00:00:31",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"k-NN 2 (kknn)",0.98,0.02,0.99,0.97,0.970588235294118,0.97125,"00:00:25",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Random Forest 1 (rf)",0.9775,0.0225,0.99,0.965,0.965853658536585,0.973125,"00:00:58",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"RNA 1 (nnet)",0.975,0.025,0.965,0.985,0.98469387755102,0.967916666666667,"00:00:26",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Decision Trees 1 (C5.0)",0.9725,0.0275,0.975,0.97,0.970149253731343,0.972083333333333,"00:00:35",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"CART 1 (rpart)",0.96,0.04,0.985,0.935,0.938095238095238,0.955833333333333,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Naive Bayes 1 (nb)",0.9,0.1,0.845,0.955,0.949438202247191,0.915,"00:00:15",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.985,0.015,1,0.97,0.970873786407767,0.970833333333333,"00:00:14",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Random Forest 3 (parRF)",0.985,0.015,0.99,0.98,0.98019801980198,0.96875,"00:00:28",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"CART 2 (rpart1SE)",0.97,0.03,0.98,0.96,0.96078431372549,0.94625,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Decision Trees 1 (C5.0)",0.97,0.03,0.99,0.95,0.951923076923077,0.96875,"00:00:18",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 3 (svmPoly)",0.965,0.035,1,0.93,0.934579439252336,0.971666666666667,"00:00:48",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"k-NN 2 (kknn)",0.96,0.04,0.96,0.96,0.96,0.954166666666667,"00:00:13",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Naive Bayes 1 (nb)",0.925,0.075,0.86,0.99,0.988505747126437,0.902083333333333,"00:00:09",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Decision Trees 1 (C5.0)",0.97,0.03,0.98,0.96,0.96078431372549,0.9575,"00:00:10",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 2 (svmRadialWeights)",0.96,0.04,0.94,0.98,0.979166666666667,0.966666666666667,"00:00:08",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Random Forest 1 (rf)",0.96,0.04,0.96,0.96,0.96,0.966666666666667,"00:00:14",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 3 (rpart2)",0.95,0.05,0.96,0.94,0.941176470588235,0.94,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"k-NN 2 (kknn)",0.95,0.05,0.94,0.96,0.959183673469388,0.958333333333333,"00:00:07",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"RNA 1 (nnet)",0.93,0.07,0.88,0.98,0.977777777777778,0.965833333333333,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Naive Bayes 1 (nb)",0.9,0.1,0.9,0.9,0.9,0.893333333333333,"00:00:05",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
