"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"RNA 1 (nnet)",0.960629921259842,0.973401854906477,0.978307553453052,0.976864502609111,0.980314960629921,0.996062992125984,0,"00:00:41",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 2 (mlp)",0.948616600790514,0.968379446640316,0.972332015810277,0.971212611104771,0.976377952755906,0.992125984251969,0,"00:00:42",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 3 (mlpML)",0.948412698412698,0.965520058510473,0.97244094488189,0.972518673143459,0.976377952755906,0.996062992125984,0,"00:00:43",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 1 (svmRadial)",0.960474308300395,0.976284584980237,0.980237154150198,0.97975682881537,0.984236407207992,1,0,"00:00:20",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 2 (svmRadialWeights)",0.968253968253968,0.976307926924154,0.980314960629921,0.980676452004764,0.987169711493573,0.992125984251969,0,"00:00:54",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 3 (svmPoly)",0.956692913385827,0.97244094488189,0.976331268868071,0.97713319431909,0.984236407207992,0.992125984251969,0,"00:03:47",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)",0.944664031620553,0.952615853848308,0.960552114780119,0.961610801614225,0.968503937007874,0.980314960629921,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 2 (rpart1SE)",0.932806324110672,0.952569169960474,0.960629921259842,0.960303566303224,0.968472814415984,0.988188976377953,0,"00:00:02",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 3 (rpart2)",0.924901185770751,0.952615853848308,0.96259842519685,0.961617997684413,0.968503937007874,0.984189723320158,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)",0.956692913385827,0.97244094488189,0.980237154150198,0.978709034888426,0.987154150197628,0.992125984251969,0,"00:00:59",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 2 (C5.0Rules)",0.948818897637795,0.968379446640316,0.97244094488189,0.971748467212349,0.976354610811988,0.992094861660079,0,"00:00:05",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 3 (C5.0Tree)",0.933070866141732,0.964461890386231,0.970417976409075,0.969250360503356,0.979272353801625,0.984189723320158,0,"00:00:05",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)",0.964566929133858,0.97244094488189,0.980237154150198,0.979235508934242,0.987169711493573,0.992125984251969,0,"00:02:00",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 2 (cforest)",0.956692913385827,0.968503937007874,0.976284584980237,0.975161059413028,0.980314960629921,0.988188976377953,0,"00:21:41",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 3 (parRF)",0.956692913385827,0.97244094488189,0.980314960629921,0.979230791144519,0.984251968503937,0.992094861660079,0,"00:01:49",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 1 (knn)",0.956521739130435,0.968379446640316,0.97244094488189,0.972394260994056,0.979330708661417,0.988188976377953,0,"00:00:03",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)",0.952755905511811,0.972332015810277,0.976377952755906,0.976074453967299,0.980314960629921,0.988188976377953,0,"00:00:46",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 1 (nb)",0.873517786561265,0.906496062992126,0.921259842519685,0.921270657208692,0.933070866141732,0.960474308300395,0,"00:00:24",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 2 (naive_bayes)",0.889763779527559,0.909180386542591,0.921259842519685,0.92008332209462,0.931888207649933,0.94488188976378,0,"00:00:02",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.956692913385827,0.972332015810277,0.978307553453052,0.976995159860617,0.984236407207992,0.992125984251969,0,"00:00:41",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 2 (mlp)",0.952755905511811,0.965415019762846,0.974409448818898,0.974767358625626,0.984251968503937,0.992125984251969,0,"00:00:35",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 3 (mlpML)",0.948818897637795,0.964566929133858,0.976377952755906,0.974765246735462,0.984189723320158,0.992125984251969,0,"00:00:34",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 1 (svmRadial)",0.952569169960474,0.976284584980237,0.984220845912048,0.981199879659311,0.988188976377953,0.99604743083004,0,"00:00:19",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 2 (svmRadialWeights)",0.972332015810277,0.976377952755906,0.980314960629921,0.982907451950588,0.988188976377953,0.996062992125984,0,"00:00:55",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 3 (svmPoly)",0.964426877470356,0.97244094488189,0.98225234197504,0.980286411003631,0.987134420697413,0.992125984251969,0,"00:03:51",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)",0.932806324110672,0.952755905511811,0.962528399365099,0.9608296245578,0.96751968503937,0.988188976377953,0,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 2 (rpart1SE)",0.929133858267717,0.94488188976378,0.956692913385827,0.956239536263501,0.964566929133858,0.980237154150198,0,"00:00:02",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 3 (rpart2)",0.937007874015748,0.952755905511811,0.956692913385827,0.960175465550337,0.968472814415984,0.992125984251969,0,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
