"Technique","Mean_Accuracy","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"SVM 2 (svmRadialWeights)",0.980676452004764,"00:00:54",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)",0.979235508934242,"00:02:00",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)",0.978709034888426,"00:00:59",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 1 (nnet)",0.976864502609111,"00:00:41",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)",0.976074453967299,"00:00:46",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 3 (rpart2)",0.961617997684413,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 1 (nb)",0.921270657208692,"00:00:24",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.982907451950588,"00:00:55",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 3 (parRF)",0.980946160550748,"00:01:52",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)",0.979491768074445,"00:00:57",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 1 (nnet)",0.976995159860617,"00:00:41",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)",0.975823394275979,"00:00:47",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)",0.9608296245578,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 1 (nb)",0.920082264091165,"00:00:23",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.980571130073516,"00:00:58",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Random Forest 1 (rf)",0.978733320680881,"00:01:58",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Decision Trees 1 (C5.0)",0.976108701652935,"00:01:03",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"k-NN 2 (kknn)",0.975704537165358,"00:00:45",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"RNA 1 (nnet)",0.975185855778723,"00:00:41",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"CART 2 (rpart1SE)",0.958515979213363,"00:00:02",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
"Naive Bayes 1 (nb)",0.920439489646449,"00:00:24",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.981166636943768,"00:01:12",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Random Forest 1 (rf)",0.978662820309517,"00:02:03",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Decision Trees 1 (C5.0)",0.976426690899474,"00:01:10",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"RNA 1 (nnet)",0.976166277963608,"00:00:41",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"k-NN 2 (kknn)",0.973139054258534,"00:00:49",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"CART 1 (rpart)",0.958906141343663,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
"Naive Bayes 2 (naive_bayes)",0.922032024488375,"00:00:02",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Random Forest 1 (rf)",0.973958333333333,"00:01:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Decision Trees 1 (C5.0)",0.97375,"00:00:38",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"SVM 2 (svmRadialWeights)",0.972083333333333,"00:00:31",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"k-NN 2 (kknn)",0.968958333333333,"00:00:29",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"RNA 1 (nnet)",0.967916666666667,"00:00:24",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"CART 1 (rpart)",0.956458333333333,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
"Naive Bayes 1 (nb)",0.916875,"00:00:16",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Decision Trees 1 (C5.0)",0.97125,"00:00:17",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"SVM 3 (svmPoly)",0.97,"00:00:46",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Random Forest 1 (rf)",0.97,"00:00:28",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"RNA 1 (nnet)",0.969583333333333,"00:00:16",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"k-NN 2 (kknn)",0.955833333333333,"00:00:12",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"CART 3 (rpart2)",0.945416666666667,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
"Naive Bayes 2 (naive_bayes)",0.905,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Random Forest 3 (parRF)",0.965833333333333,"00:00:13",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"SVM 1 (svmRadial)",0.964166666666667,"00:00:03",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"RNA 2 (mlp)",0.9625,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"k-NN 2 (kknn)",0.96,"00:00:07",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Decision Trees 1 (C5.0)",0.959166666666667,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"CART 3 (rpart2)",0.936666666666667,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
"Naive Bayes 1 (nb)",0.890833333333333,"00:00:05",123,500,250,250,"createDP",400,200,200,100,50,50,"unix"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
