"Technique","Prediction","Reference","Freq","value_counts","Test_data_accuracy","Training_data_accuracy","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"SVM 2 (svmRadialWeights)","female","female",313,"True Negative",0.985759493670886,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 2 (svmRadialWeights)","male","female",3,"False Negative",0.985759493670886,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 2 (svmRadialWeights)","female","male",6,"False Positive",0.985759493670886,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 2 (svmRadialWeights)","male","male",310,"True Positive",0.985759493670886,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"Random Forest 1 (rf)","female","female",309,"True Negative",0.977848101265823,0.980152056915152,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)","male","female",7,"False Negative",0.977848101265823,0.980152056915152,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)","female","male",7,"False Positive",0.977848101265823,0.980152056915152,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)","male","male",309,"True Positive",0.977848101265823,0.980152056915152,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"Decision Trees 1 (C5.0)","female","female",311,"True Negative",0.974683544303797,0.979365721577293,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)","male","female",5,"False Negative",0.974683544303797,0.979365721577293,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)","female","male",11,"False Positive",0.974683544303797,0.979365721577293,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)","male","male",305,"True Positive",0.974683544303797,0.979365721577293,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"k-NN 2 (kknn)","female","female",307,"True Negative",0.971518987341772,0.975675520797055,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)","male","female",9,"False Negative",0.971518987341772,0.975675520797055,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)","female","male",9,"False Positive",0.971518987341772,0.975675520797055,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)","male","male",307,"True Positive",0.971518987341772,0.975675520797055,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"RNA 1 (nnet)","female","female",306,"True Negative",0.969936708860759,0.97686603815498,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 1 (nnet)","male","female",10,"False Negative",0.969936708860759,0.97686603815498,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 1 (nnet)","female","male",9,"False Positive",0.969936708860759,0.97686603815498,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 1 (nnet)","male","male",307,"True Positive",0.969936708860759,0.97686603815498,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"CART 1 (rpart)","female","female",309,"True Negative",0.955696202531646,0.962281435835013,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)","male","female",7,"False Negative",0.955696202531646,0.962281435835013,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)","female","male",21,"False Positive",0.955696202531646,0.962281435835013,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)","male","male",295,"True Positive",0.955696202531646,0.962281435835013,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
