"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"RNA 1 (nnet)",0.960474308300395,0.97235924807818,0.976377952755906,0.97686603815498,0.980314960629921,0.988188976377953,0,"00:00:40",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 2 (mlp)",0.952569169960474,0.968503937007874,0.97244094488189,0.973312859113955,0.979272353801625,0.988188976377953,0,"00:00:45",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"RNA 3 (mlpML)",0.952569169960474,0.965520058510473,0.97244094488189,0.972390568273827,0.979213535808024,0.992125984251969,0,"00:00:45",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 1 (svmRadial)",0.960474308300395,0.973401854906477,0.980314960629921,0.980148438296333,0.987204724409449,0.99604743083004,0,"00:00:21",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 2 (svmRadialWeights)",0.960629921259842,0.976377952755906,0.980314960629921,0.98093948730717,0.988142292490119,0.992125984251969,0,"00:01:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"SVM 3 (svmPoly)",0.952569169960474,0.972332015810277,0.976377952755906,0.976073988775119,0.983221032647599,0.99604743083004,0,"00:04:07",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 1 (rpart)",0.944664031620553,0.956692913385827,0.960629921259842,0.962281435835013,0.968503937007874,0.980314960629921,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 2 (rpart1SE)",0.937007874015748,0.952569169960474,0.960629921259842,0.959776079538147,0.968503937007874,0.980314960629921,0,"00:00:02",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"CART 3 (rpart2)",0.91304347826087,0.956521739130435,0.964426877470356,0.961094685298725,0.968503937007874,0.984189723320158,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 1 (C5.0)",0.968503937007874,0.973401854906477,0.980237154150198,0.979365721577293,0.984236407207992,0.99604743083004,0,"00:00:58",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 2 (C5.0Rules)",0.956349206349206,0.965488688913886,0.976284584980237,0.972392107936442,0.976377952755906,0.992094861660079,0,"00:00:05",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Decision Trees 3 (C5.0Tree)",0.936758893280632,0.964566929133858,0.970417976409075,0.971610490388306,0.980314960629921,0.992125984251969,0,"00:00:04",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 1 (rf)",0.964426877470356,0.973401854906477,0.98027605739006,0.980152056915152,0.988142292490119,0.99604743083004,0,"00:01:43",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 2 (cforest)",0.960629921259842,0.968503937007874,0.976331268868071,0.974894870683984,0.98029550900999,0.992125984251969,0,"00:20:04",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Random Forest 3 (parRF)",0.952755905511811,0.973401854906477,0.980314960629921,0.979629226188624,0.984251968503937,0.992125984251969,0,"00:01:49",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 1 (knn)",0.956349206349206,0.965520058510473,0.974362764931064,0.973052458528323,0.980237154150198,0.988142292490119,0,"00:00:04",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"k-NN 2 (kknn)",0.96031746031746,0.969460956708475,0.976377952755906,0.975675520797055,0.980314960629921,0.988188976377953,0,"00:00:45",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
"Naive Bayes 1 (nb)",0.874015748031496,0.905231707696617,0.917322834645669,0.920872802625627,0.937007874015748,0.956521739130435,0,"00:00:24",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"unix"
