"Technique","Test_data_accuracy","Test_data_error_rate","Test_data_sensitivity","Test_data_specificity","Test_data_precision","Training_data_accuracy","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"SVM 2 (svmRadialWeights)",0.982594936708861,0.0174050632911392,0.977848101265823,0.987341772151899,0.987220447284345,0.980676452004764,"00:01:22",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 1 (rf)",0.981012658227848,0.0189873417721519,0.981012658227848,0.981012658227848,0.981012658227848,0.979235508934242,"00:01:56",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.978709034888426,"00:01:12",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 1 (nnet)",0.973101265822785,0.0268987341772152,0.971518987341772,0.974683544303797,0.974603174603175,0.976864502609111,"00:00:59",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.971518987341772,0.0284810126582279,0.971518987341772,0.971518987341772,0.971518987341772,0.976074453967299,"00:00:43",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 3 (rpart2)",0.955696202531646,0.0443037974683544,0.977848101265823,0.933544303797468,0.936363636363636,0.961617997684413,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.920886075949367,0.0791139240506329,0.879746835443038,0.962025316455696,0.958620689655172,0.921270657208692,"00:00:26",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Random Forest 3 (parRF)",0.979430379746835,0.0205696202531646,0.981012658227848,0.977848101265823,0.977917981072555,0.980946160550748,"00:01:44",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.982907451950588,"00:01:16",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.97626582278481,0.0237341772151899,0.974683544303797,0.977848101265823,0.977777777777778,0.979491768074445,"00:01:10",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 1 (nnet)",0.971518987341772,0.0284810126582279,0.968354430379747,0.974683544303797,0.974522292993631,0.976995159860617,"00:00:58",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.968354430379747,0.0316455696202531,0.962025316455696,0.974683544303797,0.974358974358974,0.975823394275979,"00:00:42",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 1 (rpart)",0.962025316455696,0.0379746835443038,0.95253164556962,0.971518987341772,0.970967741935484,0.9608296245578,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.897151898734177,0.102848101265823,0.848101265822785,0.94620253164557,0.940350877192982,0.920082264091165,"00:00:25",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.987281399046105,0.0127186009538951,0.990683229813665,0.98371335504886,0.984567901234568,0.981611151489114,"00:01:16",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 1 (rf)",0.984101748807631,0.0158982511923689,0.978260869565217,0.990228013029316,0.990566037735849,0.979126466143604,"00:01:50",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 1 (C5.0)",0.980922098569157,0.0190779014308426,0.975155279503106,0.986970684039088,0.987421383647799,0.978206262638468,"00:01:14",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"k-NN 2 (kknn)",0.97933227344992,0.0206677265500795,0.978260869565217,0.980456026058632,0.981308411214953,0.974925973999821,"00:00:42",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"RNA 1 (nnet)",0.972972972972973,0.027027027027027,0.962732919254658,0.98371335504886,0.984126984126984,0.975185855778723,"00:01:00",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 3 (rpart2)",0.95389507154213,0.0461049284578696,0.972049689440994,0.93485342019544,0.93993993993994,0.95811765885693,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Naive Bayes 1 (nb)",0.920508744038156,0.0794912559618441,0.881987577639752,0.960912052117264,0.959459459459459,0.920570658149247,"00:00:25",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Random Forest 1 (rf)",0.985871271585557,0.0141287284144427,0.981366459627329,0.990476190476191,0.990595611285266,0.978662820309517,"00:01:45",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"SVM 2 (svmRadialWeights)",0.984301412872841,0.0156985871271585,0.993788819875776,0.974603174603175,0.975609756097561,0.981166636943768,"00:01:18",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 1 (C5.0)",0.982731554160126,0.0172684458398744,0.987577639751553,0.977777777777778,0.978461538461538,0.976426690899474,"00:01:13",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"RNA 1 (nnet)",0.978021978021978,0.021978021978022,0.987577639751553,0.968253968253968,0.969512195121951,0.976166277963608,"00:00:59",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"k-NN 2 (kknn)",0.974882260596546,0.0251177394034537,0.975155279503106,0.974603174603175,0.975155279503106,0.973139054258534,"00:00:43",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 1 (rpart)",0.962323390894819,0.0376766091051806,0.981366459627329,0.942857142857143,0.946107784431138,0.958906141343663,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 2 (naive_bayes)",0.934065934065934,0.0659340659340659,0.900621118012422,0.968253968253968,0.966666666666667,0.922032024488375,"00:00:03",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.9875,0.0125,0.995,0.98,0.980295566502463,0.972083333333333,"00:00:43",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"k-NN 2 (kknn)",0.98,0.02,0.99,0.97,0.970588235294118,0.968958333333333,"00:00:26",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 1 (C5.0)",0.9775,0.0225,0.98,0.975,0.975124378109453,0.97375,"00:00:46",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 1 (rf)",0.9775,0.0225,0.99,0.965,0.965853658536585,0.973958333333333,"00:01:00",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"RNA 1 (nnet)",0.975,0.025,0.965,0.985,0.98469387755102,0.967916666666667,"00:00:37",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 1 (rpart)",0.96,0.04,0.985,0.935,0.938095238095238,0.956458333333333,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Naive Bayes 1 (nb)",0.8925,0.1075,0.845,0.94,0.933701657458563,0.916875,"00:00:16",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Random Forest 1 (rf)",0.975,0.025,0.99,0.96,0.961165048543689,0.970416666666667,"00:00:27",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 2 (rpart1SE)",0.97,0.03,0.98,0.96,0.96078431372549,0.947916666666667,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 1 (C5.0)",0.97,0.03,0.99,0.95,0.951923076923077,0.969583333333333,"00:00:20",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 3 (svmPoly)",0.965,0.035,1,0.93,0.934579439252336,0.97125,"00:00:44",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"RNA 1 (nnet)",0.96,0.04,1,0.92,0.925925925925926,0.969583333333333,"00:00:20",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
