"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"RNA 1 (nnet)",0.960629921259842,0.973401854906477,0.978307553453052,0.976864502609111,0.980314960629921,0.996062992125984,0,"00:00:59",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 2 (mlp)",0.952569169960474,0.968503937007874,0.976284584980237,0.972919668802928,0.979272353801625,0.988188976377953,0,"00:00:40",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 3 (mlpML)",0.960474308300395,0.968379446640316,0.97244094488189,0.97331386771647,0.976377952755906,0.996062992125984,0,"00:00:41",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 1 (svmRadial)",0.960474308300395,0.976284584980237,0.980237154150198,0.97975682881537,0.984236407207992,1,0,"00:00:31",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)",0.968253968253968,0.976307926924154,0.980314960629921,0.980676452004764,0.987169711493573,0.992125984251969,0,"00:01:22",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 3 (svmPoly)",0.956692913385827,0.97244094488189,0.976331268868071,0.97713319431909,0.984236407207992,0.992125984251969,0,"00:03:32",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 1 (rpart)",0.944664031620553,0.952615853848308,0.960552114780119,0.961610801614225,0.968503937007874,0.980314960629921,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 2 (rpart1SE)",0.932806324110672,0.952569169960474,0.960629921259842,0.960303566303224,0.968472814415984,0.988188976377953,0,"00:00:02",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 3 (rpart2)",0.924901185770751,0.952615853848308,0.96259842519685,0.961617997684413,0.968503937007874,0.984189723320158,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.956692913385827,0.97244094488189,0.980237154150198,0.978709034888426,0.987154150197628,0.992125984251969,0,"00:01:12",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 2 (C5.0Rules)",0.948818897637795,0.968379446640316,0.97244094488189,0.971748467212349,0.976354610811988,0.992094861660079,0,"00:00:06",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 3 (C5.0Tree)",0.933070866141732,0.964461890386231,0.970417976409075,0.969250360503356,0.979272353801625,0.984189723320158,0,"00:00:06",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 1 (rf)",0.964566929133858,0.97244094488189,0.980237154150198,0.979235508934242,0.987169711493573,0.992125984251969,0,"00:01:56",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 2 (cforest)",0.956692913385827,0.968503937007874,0.976284584980237,0.975161059413028,0.980314960629921,0.988188976377953,0,"00:19:21",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)",0.956692913385827,0.97244094488189,0.980314960629921,0.979230791144519,0.984251968503937,0.992094861660079,0,"00:01:48",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 1 (knn)",0.956521739130435,0.968379446640316,0.97244094488189,0.972394260994056,0.979330708661417,0.988188976377953,0,"00:00:04",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.952755905511811,0.972332015810277,0.976377952755906,0.976074453967299,0.980314960629921,0.988188976377953,0,"00:00:43",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.873517786561265,0.906496062992126,0.921259842519685,0.921270657208692,0.933070866141732,0.960474308300395,0,"00:00:26",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 2 (naive_bayes)",0.889763779527559,0.909180386542591,0.921259842519685,0.92008332209462,0.931888207649933,0.94488188976378,0,"00:00:03",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.956692913385827,0.972332015810277,0.978307553453052,0.976995159860617,0.984236407207992,0.992125984251969,0,"00:00:58",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 2 (mlp)",0.956692913385827,0.968503937007874,0.976284584980237,0.97568599379623,0.984236407207992,0.992125984251969,0,"00:00:33",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 3 (mlpML)",0.952755905511811,0.965520058510473,0.972386480346083,0.975427128756468,0.987169711493573,0.99604743083004,0,"00:00:33",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 1 (svmRadial)",0.952569169960474,0.976284584980237,0.984220845912048,0.981199879659311,0.988188976377953,0.99604743083004,0,"00:00:27",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)",0.972332015810277,0.976377952755906,0.980314960629921,0.982907451950588,0.988188976377953,0.996062992125984,0,"00:01:16",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 3 (svmPoly)",0.964426877470356,0.97244094488189,0.98225234197504,0.980286411003631,0.987134420697413,0.992125984251969,0,"00:03:15",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 1 (rpart)",0.932806324110672,0.952755905511811,0.962528399365099,0.9608296245578,0.96751968503937,0.988188976377953,0,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 2 (rpart1SE)",0.929133858267717,0.94488188976378,0.956692913385827,0.956239536263501,0.964566929133858,0.980237154150198,0,"00:00:02",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 3 (rpart2)",0.937007874015748,0.952755905511811,0.956692913385827,0.960175465550337,0.968472814415984,0.992125984251969,0,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.956521739130435,0.976307926924154,0.98027605739006,0.979491768074445,0.984251968503937,0.99604743083004,0,"00:01:10",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 2 (C5.0Rules)",0.948818897637795,0.964426877470356,0.968441691824095,0.970953783115714,0.98029550900999,0.992094861660079,0,"00:00:06",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 3 (C5.0Tree)",0.948818897637795,0.964461890386231,0.968503937007874,0.968585835532087,0.976354610811988,0.984251968503937,0,"00:00:06",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 1 (rf)",0.968503937007874,0.976307926924154,0.978268341457318,0.979755721410976,0.984251968503937,0.992125984251969,0,"00:01:43",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 2 (cforest)",0.960474308300395,0.972332015810277,0.976284584980237,0.975950004767191,0.980314960629921,0.988142292490119,0,"00:19:03",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)",0.968503937007874,0.976307926924154,0.980236845394326,0.980946160550748,0.984251968503937,0.996062992125984,0,"00:01:44",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 1 (knn)",0.948818897637795,0.968503937007874,0.97244094488189,0.972795721845705,0.980217548152331,0.988188976377953,0,"00:00:04",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.964566929133858,0.969433508311461,0.976377952755906,0.975823394275979,0.98029550900999,0.992094861660079,0,"00:00:42",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.893280632411067,0.906406585540444,0.921259842519685,0.920082264091165,0.933004730633967,0.952569169960474,0,"00:00:25",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 2 (naive_bayes)",0.889328063241107,0.909448818897638,0.924901185770751,0.919949478482515,0.928853754940711,0.94488188976378,0,"00:00:03",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.952755905511811,0.97235924807818,0.976377952755906,0.975185855778723,0.980314960629921,0.992156862745098,0,"00:01:00",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"RNA 2 (mlp)",0.949019607843137,0.968503937007874,0.976284584980237,0.973492689140433,0.98029550900999,0.988142292490119,0,"00:00:33",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"RNA 3 (mlpML)",0.948818897637795,0.965624273424785,0.976331268868071,0.973747485528503,0.980314960629921,0.988188976377953,0,"00:00:33",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"SVM 1 (svmRadial)",0.964566929133858,0.97244094488189,0.976377952755906,0.978469329906187,0.984251968503937,0.992125984251969,0,"00:00:27",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"SVM 2 (svmRadialWeights)",0.964426877470356,0.976307926924154,0.984251968503937,0.981611151489114,0.987220163656014,0.996078431372549,0,"00:01:16",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"SVM 3 (svmPoly)",0.948818897637795,0.97244094488189,0.980314960629921,0.977291793420033,0.983240331705805,0.992125984251969,0,"00:03:19",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 1 (rpart)",0.925196850393701,0.94488188976378,0.956692913385827,0.957056864636863,0.967554423344141,0.992125984251969,0,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 2 (rpart1SE)",0.91699604743083,0.948667175002334,0.956692913385827,0.956014711425429,0.964705882352941,0.988142292490119,0,"00:00:02",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 3 (rpart2)",0.933333333333333,0.94488188976378,0.960629921259842,0.95811765885693,0.96751968503937,0.980314960629921,0,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 1 (C5.0)",0.960629921259842,0.973482910950942,0.980314960629921,0.978206262638468,0.984189723320158,0.988188976377953,0,"00:01:14",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 2 (C5.0Rules)",0.952755905511811,0.964566929133858,0.968503937007874,0.970196373384041,0.972549019607843,0.992125984251969,0,"00:00:06",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 3 (C5.0Tree)",0.940711462450593,0.960629921259842,0.968441691824095,0.966257748355741,0.97244094488189,0.992094861660079,0,"00:00:06",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 1 (rf)",0.96078431372549,0.973482910950942,0.978392774432608,0.979126466143604,0.984251968503937,0.996062992125984,0,"00:01:50",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 2 (cforest)",0.952941176470588,0.969460956708475,0.974463486181874,0.974665001913124,0.983221032647599,0.992125984251969,0,"00:19:05",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 3 (parRF)",0.949019607843137,0.97244094488189,0.98027605739006,0.978735881683704,0.984251968503937,0.996062992125984,0,"00:01:49",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"k-NN 1 (knn)",0.952569169960474,0.964566929133858,0.970417976409075,0.970585932629149,0.976377952755906,0.992156862745098,0,"00:00:04",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"k-NN 2 (kknn)",0.956692913385827,0.968410569232206,0.976284584980237,0.974925973999821,0.980314960629921,0.99604743083004,0,"00:00:42",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
