"Technique","Mean_Accuracy","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"SVM 2 (svmRadialWeights)",0.980676452004764,"00:01:22",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 1 (rf)",0.979235508934242,"00:01:56",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.978709034888426,"00:01:12",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 1 (nnet)",0.976864502609111,"00:00:59",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.976074453967299,"00:00:43",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 3 (rpart2)",0.961617997684413,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.921270657208692,"00:00:26",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.982907451950588,"00:01:16",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)",0.980946160550748,"00:01:44",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.979491768074445,"00:01:10",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 1 (nnet)",0.976995159860617,"00:00:58",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.975823394275979,"00:00:42",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 1 (rpart)",0.9608296245578,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.920082264091165,"00:00:25",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.981611151489114,"00:01:16",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 1 (rf)",0.979126466143604,"00:01:50",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 1 (C5.0)",0.978206262638468,"00:01:14",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"RNA 1 (nnet)",0.975185855778723,"00:01:00",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"k-NN 2 (kknn)",0.974925973999821,"00:00:42",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 3 (rpart2)",0.95811765885693,"00:00:01",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Naive Bayes 1 (nb)",0.920570658149247,"00:00:25",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.981166636943768,"00:01:18",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 1 (rf)",0.978662820309517,"00:01:45",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 1 (C5.0)",0.976426690899474,"00:01:13",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"RNA 1 (nnet)",0.976166277963608,"00:00:59",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"k-NN 2 (kknn)",0.973139054258534,"00:00:43",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 1 (rpart)",0.958906141343663,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 2 (naive_bayes)",0.922032024488375,"00:00:03",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Random Forest 1 (rf)",0.973958333333333,"00:01:00",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 1 (C5.0)",0.97375,"00:00:46",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"SVM 2 (svmRadialWeights)",0.972083333333333,"00:00:43",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"k-NN 2 (kknn)",0.968958333333333,"00:00:26",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"RNA 1 (nnet)",0.967916666666667,"00:00:37",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 1 (rpart)",0.956458333333333,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Naive Bayes 1 (nb)",0.916875,"00:00:16",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 3 (svmPoly)",0.97125,"00:00:44",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 1 (rf)",0.970416666666667,"00:00:27",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"RNA 1 (nnet)",0.969583333333333,"00:00:20",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 1 (C5.0)",0.969583333333333,"00:00:20",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"k-NN 2 (kknn)",0.952916666666667,"00:00:12",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 2 (rpart1SE)",0.947916666666667,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Naive Bayes 2 (naive_bayes)",0.907916666666667,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 2 (mlp)",0.965833333333333,"00:00:08",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 2 (svmRadialWeights)",0.965,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
