"Technique","Test_data_accuracy","Test_data_error_rate","Test_data_sensitivity","Test_data_specificity","Test_data_precision","Training_data_accuracy","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"SVM 2 (svmRadialWeights)",0.984177215189873,0.0158227848101266,0.990506329113924,0.977848101265823,0.978125,0.981332669384706,"00:01:21",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)",0.979430379746835,0.0205696202531646,0.981012658227848,0.977848101265823,0.977917981072555,0.98093948730717,"00:01:42",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.974683544303797,0.0253164556962026,0.984177215189873,0.965189873417722,0.96583850931677,0.978708516178561,"00:01:10",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.971518987341772,0.0284810126582279,0.971518987341772,0.971518987341772,0.971518987341772,0.975026178381194,"00:00:42",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 1 (nnet)",0.969936708860759,0.0300632911392406,0.968354430379747,0.971518987341772,0.971428571428571,0.97686603815498,"00:01:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 2 (rpart1SE)",0.955696202531646,0.0443037974683544,0.977848101265823,0.933544303797468,0.936363636363636,0.961486233028513,"00:00:02",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.920886075949367,0.0791139240506329,0.879746835443038,0.962025316455696,0.958620689655172,0.921131721183073,"00:00:25",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.976731712883716,"00:00:56",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.982647051364956,"00:01:15",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.97626582278481,0.0237341772151899,0.981012658227848,0.971518987341772,0.971786833855799,0.978965759220809,"00:01:08",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)",0.97626582278481,0.0237341772151899,0.977848101265823,0.974683544303797,0.974763406940063,0.981997124371311,"00:01:40",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.968354430379747,0.0316455696202531,0.962025316455696,0.974683544303797,0.974358974358974,0.9760848652153,"00:00:42",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 1 (rpart)",0.962025316455696,0.0379746835443038,0.95253164556962,0.971518987341772,0.970967741935484,0.959778640153512,"00:00:01",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.895569620253165,0.104430379746835,0.848101265822785,0.943037974683544,0.937062937062937,0.920995819198489,"00:00:24",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.987281399046105,0.0127186009538951,0.990683229813665,0.98371335504886,0.984567901234568,0.980964324355991,"00:01:15",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Random Forest 3 (parRF)",0.982511923688394,0.0174880763116058,0.978260869565217,0.986970684039088,0.987460815047022,0.978993198391471,"00:01:45",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Decision Trees 1 (C5.0)",0.980922098569157,0.0190779014308426,0.975155279503106,0.986970684039088,0.987421383647799,0.977817805906092,"00:01:12",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"RNA 1 (nnet)",0.97933227344992,0.0206677265500795,0.975155279503106,0.98371335504886,0.984326018808777,0.975712860933072,"00:00:58",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"k-NN 2 (kknn)",0.97933227344992,0.0206677265500795,0.978260869565217,0.980456026058632,0.981308411214953,0.976369543553626,"00:00:42",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"CART 2 (rpart1SE)",0.95389507154213,0.0461049284578696,0.972049689440994,0.93485342019544,0.93993993993994,0.959435194118522,"00:00:02",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
"Naive Bayes 2 (naive_bayes)",0.915739268680445,0.0842607313195548,0.87888198757764,0.954397394136808,0.952861952861953,0.920836727831713,"00:00:03",123,3168,1584,1584,"sample-prob",2539,1262,1277,629,322,307,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVM 2 (svmRadialWeights)",0.989010989010989,0.0109890109890109,0.996894409937888,0.980952380952381,0.981651376146789,0.981039553026886,"00:01:17",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Random Forest 3 (parRF)",0.984301412872841,0.0156985871271585,0.981366459627329,0.987301587301587,0.9875,0.97840295490073,"00:01:42",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Decision Trees 1 (C5.0)",0.976452119309262,0.0235478806907379,0.978260869565217,0.974603174603175,0.975232198142415,0.976551625875488,"00:01:10",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"RNA 1 (nnet)",0.974882260596546,0.0251177394034537,0.987577639751553,0.961904761904762,0.963636363636364,0.976423537472836,"00:00:58",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"k-NN 2 (kknn)",0.974882260596546,0.0251177394034537,0.975155279503106,0.974603174603175,0.975155279503106,0.974971705611897,"00:00:42",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"CART 3 (rpart2)",0.962323390894819,0.0376766091051806,0.981366459627329,0.942857142857143,0.946107784431138,0.958908714309262,"00:00:01",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
"Naive Bayes 1 (nb)",0.929356357927786,0.0706436420722135,0.894409937888199,0.965079365079365,0.963210702341137,0.921636874606748,"00:00:25",1234,3168,1584,1584,"sample-prob",2531,1262,1269,637,322,315,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
