"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"RNA 1 (nnet)",0.960474308300395,0.97235924807818,0.976377952755906,0.97686603815498,0.980314960629921,0.988188976377953,0,"00:01:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 2 (mlp)",0.948616600790514,0.968379446640316,0.97244094488189,0.972919685269908,0.979272353801625,0.992125984251969,0,"00:00:40",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"RNA 3 (mlpML)",0.948616600790514,0.972332015810277,0.97244094488189,0.973966412959908,0.980314960629921,0.996062992125984,0,"00:00:41",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 1 (svmRadial)",0.960629921259842,0.976377952755906,0.980314960629921,0.980285892293766,0.984236407207992,0.99604743083004,0,"00:00:30",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)",0.964426877470356,0.976307926924154,0.984189723320158,0.981332669384706,0.988188976377953,0.992125984251969,0,"00:01:21",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 3 (svmPoly)",0.952569169960474,0.97244094488189,0.980197942154464,0.976465013678297,0.980314960629921,0.996062992125984,0,"00:03:32",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 1 (rpart)",0.940711462450593,0.953740157480315,0.964426877470356,0.961483198987478,0.968379446640316,0.988142292490119,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 2 (rpart1SE)",0.928853754940711,0.95365423072116,0.962528399365099,0.961486233028513,0.968503937007874,0.984251968503937,0,"00:00:02",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"CART 3 (rpart2)",0.905138339920949,0.956564532694283,0.962457817772778,0.959643816756107,0.968503937007874,0.984189723320158,0,"00:00:01",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)",0.960474308300395,0.968503937007874,0.980237154150198,0.978708516178561,0.984251968503937,0.996062992125984,0,"00:01:10",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 2 (C5.0Rules)",0.956692913385827,0.965488688913886,0.972386480346083,0.970689726860559,0.976284584980237,0.984251968503937,0,"00:00:06",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 3 (C5.0Tree)",0.948818897637795,0.964566929133858,0.97244094488189,0.970956866557688,0.979213535808024,0.988188976377953,0,"00:00:06",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 1 (rf)",0.960474308300395,0.969488188976378,0.980237154150198,0.978968389820838,0.987169711493573,0.992125984251969,0,"00:01:54",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 2 (cforest)",0.944664031620553,0.97244094488189,0.976284584980237,0.976075009727868,0.983173978252718,0.992125984251969,0,"00:17:53",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)",0.964426877470356,0.977342753104479,0.980314960629921,0.98093948730717,0.987169711493573,0.992125984251969,0,"00:01:42",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 1 (knn)",0.952569169960474,0.964566929133858,0.97244094488189,0.972397871379385,0.980314960629921,0.988188976377953,0,"00:00:04",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)",0.94488188976378,0.969488188976378,0.976377952755906,0.975026178381194,0.980314960629921,0.988188976377953,0,"00:00:42",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 1 (nb)",0.881889763779528,0.906406585540444,0.921104229560238,0.921131721183073,0.937007874015748,0.956692913385827,0,"00:00:25",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Naive Bayes 2 (naive_bayes)",0.877952755905512,0.905511811023622,0.92293150856143,0.919564101753421,0.933004730633967,0.956692913385827,0,"00:00:03",123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.952755905511811,0.97235924807818,0.978307553453052,0.976731712883716,0.984251968503937,0.992125984251969,0,"00:00:56",1234,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
