"Technique","Prediction","Reference","Freq","value_counts","Test_data_accuracy","Training_data_accuracy","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"SVM 2 (svmRadialWeights)","female","female",313,"True Negative",0.984177215189873,0.981332669384706,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)","male","female",3,"False Negative",0.984177215189873,0.981332669384706,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)","female","male",7,"False Positive",0.984177215189873,0.981332669384706,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"SVM 2 (svmRadialWeights)","male","male",309,"True Positive",0.984177215189873,0.981332669384706,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"Random Forest 3 (parRF)","female","female",310,"True Negative",0.979430379746835,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)","male","female",6,"False Negative",0.979430379746835,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)","female","male",7,"False Positive",0.979430379746835,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Random Forest 3 (parRF)","male","male",309,"True Positive",0.979430379746835,0.98093948730717,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"Decision Trees 1 (C5.0)","female","female",311,"True Negative",0.974683544303797,0.978708516178561,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)","male","female",5,"False Negative",0.974683544303797,0.978708516178561,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)","female","male",11,"False Positive",0.974683544303797,0.978708516178561,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"Decision Trees 1 (C5.0)","male","male",305,"True Positive",0.974683544303797,0.978708516178561,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"-","-","-",0,"-",0,0,0,0,0,0,"-",0,0,0,0,0,0,"-"
"k-NN 2 (kknn)","female","female",307,"True Negative",0.971518987341772,0.975026178381194,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
"k-NN 2 (kknn)","male","female",9,"False Negative",0.971518987341772,0.975026178381194,123,3168,1584,1584,"createDP",2536,1268,1268,632,316,316,"windows"
